City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vorgashor,67.5833,63.95,-21.35,100,30,2.17,RU,1701073665
83,tiksi,71.6872,128.8694,-21.38,100,92,2.78,RU,1701073665
84,craig,40.5153,-107.5464,-13.67,85,100,0.0,US,1701073665
85,turabah,21.2141,41.6331,27.66,20,64,2.54,SA,1701073485
86,aykhal,66.0,111.5,-21.58,99,100,4.02,RU,1701073665
87,college,64.8569,-147.8028,-8.08,86,100,0.89,US,1701073491
88,majene,-3.5403,118.9707,26.95,82,99,1.72,ID,1701073666
89,farafangana,-22.8167,47.8333,28.96,66,3,4.36,MG,1701073485
90,yamada,39.4667,141.95,8.56,92,99,0.69,JP,1701073666
91,ribeira grande,38.5167,-28.7,18.22,88,75,2.06,PT,1701073666
92,thompson,55.7435,-97.8558,-17.91,78,100,3.6,CA,1701073666
93,yellowknife,62.456,-114.3525,-11.44,96,100,2.57,CA,1701073667
94,kenora,49.8167,-94.4337,-13.46,72,75,4.63,CA,1701073486
95,valley city,46.9233,-98.0032,-10.71,73,100,0.0,US,1701073667
96,divino das laranjeiras,-18.7778,-41.4797,21.89,83,100,1.07,BR,1701073667
97,manta,-0.95,-80.7333,23.55,85,100,3.19,EC,1701073667
98,akhty,41.4597,47.7312,15.58,42,57,1.77,RU,1701073487
99,udachny,66.4167,112.4,-20.72,99,100,3.25,RU,1701073459
100,sao joao da barra,-21.6403,-41.0511,22.88,81,96,2.67,BR,1701073488
101,tamanrasset,22.785,5.5228,18.95,16,0,3.09,DZ,1701073668
102,invercargill,-46.4,168.35,12.79,93,100,3.58,NZ,1701073402
103,saint-pierre,-21.3393,55.4781,28.82,65,20,5.66,RE,1701073488
104,talnakh,69.4865,88.3972,-23.46,98,34,3.41,RU,1701073488
105,anadyr,64.75,177.4833,2.28,87,40,8.0,RU,1701073669
106,fanwood,40.6409,-74.3835,9.1,84,75,7.2,US,1701073489
107,fort bragg,35.139,-79.006,7.91,94,100,2.06,US,1701073669
108,inonu,37.3167,33.7667,1.14,61,13,4.65,TR,1701073489
109,mezhdurechenskiy,59.6,65.9333,1.24,95,100,3.99,RU,1701073670
110,pahrump,36.2083,-115.9839,5.03,35,77,1.5,US,1701073670
111,iskateley,67.6803,53.1512,-24.38,100,35,2.4,RU,1701073670
112,kodiak,57.79,-152.4072,2.73,100,75,0.0,US,1701073670
113,beli,7.8587,10.9719,28.65,67,90,0.83,NG,1701073671
114,al mahallah al kubra,30.9745,31.165,20.67,42,30,6.49,EG,1701073671
115,puerto ayora,-0.7393,-90.3518,24.19,94,74,1.79,EC,1701073671
116,komotini,41.1228,25.3964,4.47,61,0,0.45,GR,1701073671
117,utrik,11.2278,169.8474,27.63,79,100,9.24,MH,1701073671
118,kujang-up,39.8672,126.0303,1.14,97,97,1.0,KP,1701073672
119,kapa'a,22.0752,-159.319,24.18,91,75,7.2,US,1701073672
120,hirara,24.8,125.2833,23.92,68,75,7.2,JP,1701073672
121,tolanaro,-25.0319,46.9987,32.04,55,20,9.77,MG,1701073492
122,matoury,4.8483,-52.3317,25.98,94,75,0.0,GF,1701073672
123,st. john's,47.5649,-52.7093,1.1,90,75,2.06,CA,1701073673
124,obo,5.3998,26.4869,26.23,71,96,2.28,CF,1701073673
125,bethel,41.3712,-73.414,9.0,86,100,3.09,US,1701073493
126,nova vicosa,-17.8919,-39.3719,24.47,75,89,3.45,BR,1701073673
127,el nido,11.1858,119.3956,28.64,74,15,4.89,PH,1701073673
128,mount pearl,47.5166,-52.7813,0.64,90,75,2.06,CA,1701073674
129,suva,-18.1416,178.4415,26.71,83,75,4.12,FJ,1701073494
130,arafat,21.3594,39.9664,30.19,51,18,2.04,SA,1701073674
131,cabo san lucas,22.8909,-109.9124,24.31,72,100,0.45,MX,1701073228
132,kailua-kona,19.6406,-155.9956,24.22,92,75,2.06,US,1701073666
133,burang,30.25,81.1667,0.7,44,100,3.17,CN,1701073494
134,karratha,-20.7377,116.8463,30.29,41,5,9.6,AU,1701073675
135,gubkinskiy,64.434,76.5026,-15.25,95,100,2.86,RU,1701073675
